sample_id,sampling_tier,source_baseline,record_id,doi,paper_title,route,formulation_label,policy_level,policy_first_verified,pipeline_status_v4,failure_reasons_v4,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,device,study_type,barrier,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,key_table_figure_to_check,paper_link,card_path,gold_api_correct,gold_concentration_correct,gold_device_correct,gold_endpoint_kind_correct,gold_endpoint_time_correct,gold_membrane_correct,gold_endpoint_value_correct,gold_endpoint_value_note,gold_excipient_correct,gold_receptor_medium_correct,gold_dose_type_correct,gold_scope_correct,gold_value_correct,gold_keep_record,gold_notes
R2-001,tier1_gpt_v4_verified_all,gpt,record_1b7997ecf760,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,mixed,Ibuprofen 750 ug/cm2,v3,v3,verified,,amount_per_area,0.73,ug/cm2,3,hours,0.73,ug/cm^2,Ibuprofen,750,ug/cm2,topical application,Ibuprofen saturated solution in 75:25 propylene glycol/water,Franz diffusion cell,IVPT,stratum corneum,stratum corneum,rat,,water,finite,500 ul,2,"Table 2; page(s): 5, 7, 8, 12, 21",https://doi.org/10.1007/s11095-008-9785-y,gold_set_round2_record_cards\R2-001_record_1b7997ecf760.md,yes,no,no,yes,yes,yes,no,endpoint states 10.5±4.6 ,partial,uncertain,no,no,no,no,"concentration aprox. 10 mg/ml, it's in vivo DPK, not ivpt/ivrt, endpoint value was wrong; it's infinite dose. "
R2-002,tier1_gpt_v4_verified_all,gpt,record_376e82e8f4c3,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,mixed,Ibuprofen 750 ug/cm2,v3,v3,verified,,amount_per_area,0.75,ug/cm2,1,hours,0.75,ug/cm^2,Ibuprofen,750,ug/cm2,topical application,Ibuprofen saturated solution in 75:25 propylene glycol/water,Franz diffusion cell,IVPT,stratum corneum,stratum corneum,rat,,water,finite,500 ul,2,"Table 2; page(s): 5, 7, 8, 12, 21",https://doi.org/10.1007/s11095-008-9785-y,gold_set_round2_record_cards\R2-002_record_376e82e8f4c3.md,yes,no,no,yes,yes,yes,no,endpoint states 10.2±1.8,partial,uncertain,no,no,no,no,"concentration aprox. 10 mg/ml, it's in vivo DPK, not ivpt/ivrt, endpoint value was wrong; it's infinite dose."
R2-003,tier1_gpt_v4_verified_all,gpt,record_cf8f689281a3,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,mixed,Ibuprofen 750 ug/cm2,v3,v3,verified,,amount_per_area,0.77,ug/cm2,0.5,hours,0.77,ug/cm^2,Ibuprofen,750,ug/cm2,topical application,Ibuprofen saturated solution in 75:25 propylene glycol/water,Franz diffusion cell,IVPT,stratum corneum,stratum corneum,rat,,water,finite,500 ul,2,"Table 2; page(s): 5, 7, 8, 12, 21",https://doi.org/10.1007/s11095-008-9785-y,gold_set_round2_record_cards\R2-003_record_cf8f689281a3.md,yes,no,no,yes,yes,yes,no,endpoint states 17.4±0.9,partial,uncertain,no,no,no,no,"concentration aprox. 10 mg/ml, it's in vivo DPK, not ivpt/ivrt, endpoint value was wrong; it's infinite dose."
R2-004,tier1_gpt_v4_verified_all,gpt,record_d39ce62be933,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,mixed,Ibuprofen 750 ug/cm2,v3,v3,verified,,amount_per_area,0.72,ug/cm2,4,hours,0.72,ug/cm^2,Ibuprofen,750,ug/cm2,topical application,Ibuprofen saturated solution in 75:25 propylene glycol/water,Franz diffusion cell,IVPT,stratum corneum,stratum corneum,rat,,water,finite,500 ul,2,"Table 2; page(s): 5, 7, 8, 12, 21",https://doi.org/10.1007/s11095-008-9785-y,gold_set_round2_record_cards\R2-004_record_d39ce62be933.md,yes,no,no,yes,yes,yes,no,endpoint states 9.7±2.9,partial,uncertain,no,no,no,no,"concentration aprox. 10 mg/ml, it's in vivo DPK, not ivpt/ivrt, endpoint value was wrong; it's infinite dose."
R2-005,tier1_gpt_v4_verified_all,gpt,record_f4ad6fc69336,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,mixed,Ibuprofen 750 ug/cm2,v3,v3,verified,,amount_per_area,0.74,ug/cm2,2,hours,0.74,ug/cm^2,Ibuprofen,750,ug/cm2,topical application,Ibuprofen saturated solution in 75:25 propylene glycol/water,Franz diffusion cell,IVPT,stratum corneum,stratum corneum,rat,,water,finite,500 ul,2,"Table 2; page(s): 5, 7, 8, 12, 21",https://doi.org/10.1007/s11095-008-9785-y,gold_set_round2_record_cards\R2-005_record_f4ad6fc69336.md,yes,no,no,yes,yes,yes,no,endpoint states 9.3±1.4,partial,uncertain,no,no,no,no,"concentration aprox. 10 mg/ml, it's in vivo DPK, not ivpt/ivrt, endpoint value was wrong; it's infinite dose."
R2-006,tier1_gpt_v4_verified_all,gpt,record_2c9fa747f279,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,mixed,text_1,v4,v4,verified,,jss,2.99,-,0.5,hr,,,ibuprofen,10,mg/ml,w/v,10 mg/ml,Franz diffusion cell,IVPT,stratum corneum,skin,human,10,propylene glycol/water,infinite,500 ul,3.14,"Table II; page 3; page 11; page 19; page(s): 1, 2, 3, 4, 7, 8, 9, 10",https://doi.org/10.1007/s11095-008-9785-y,gold_set_round2_record_cards\R2-006_record_2c9fa747f279.md,yes,yes,no,yes,yes,yes,no,"endpoint states 7.3±1.0^a, this value is 0.5 h (occluded)",partial,uncertain,yes,no,no,no,"concentration aprox. 10 mg/ml, it's in vivo DPK, not ivpt/ivrt, endpoint value was wrong."
R2-007,tier1_gpt_v4_verified_all,gpt,record_e3375489a6c9,10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,figure,5% w/w Ibuprofen gel,v1,v1,verified,,amount_total,250,ug/mL,720,min,2388.535032,ug/cm^2,Ibuprofen,5,% w/w,w/w,5 % w/w,Franz diffusion cell,both,silicone membrane,,,,,,,3.14,"figure 11; recovered_digitizable; Table 1; figure 11 p.16; page(s): 5, 8, 9, 10, 11, 15, 16, 17",https://doi.org/10.1016/j.ejpb.2020.05.013,gold_set_round2_record_cards\R2-007_record_e3375489a6c9.md,yes,yes,yes,yes,yes,yes,near,endpoint states approx. 200 in Figure 11.,uncertain,no,no,yes,no,yes,excipients was not stated; receptor_medium is Phosphate buffer; dose type is finite dose.
R2-008,tier1_gpt_v4_verified_all,gpt,record_8cbb8eafc69e,10.1016/j.jpba.2019.04.040,Selective modification of skin barrier lipids.,text,text_1,v4,v4,verified,,flux,0.1,mg/cm2/h,1,h,,,ibuprofen,,,,Ibuprofen formulation with Acetone treatment,Franz diffusion cell,IVPT,stratum corneum,stratum corneum,human skin,20,"buffer, pH 7.4",finite,amount not specified,1,Check evidence locators in this card,https://doi.org/10.1016/j.jpba.2019.04.040,gold_set_round2_record_cards\R2-008_record_8cbb8eafc69e.md,yes,no,yes,no,no,no,no,"Percutaneous absorption, 9.03 ± 1.18 ug/cm^{2}$ for ibuprofen",partial,yes,yes,no,no,no,"concentration was not extracted, it states 1%, not like w/w; endpoint kind is not flux, it states amount per area; endpoint time states 24h not 1h; membrane states porcine skin; endpoint value is not right."
R2-009,tier1_gpt_v4_verified_all,gpt,record_797d3caa1991,10.1039/d0ra00100g,Enhancement of ibuprofen solubility and skin permeation by conjugation with l-valine alkyl esters.,table,rac-IBU,v3,v3,verified,,amount_total,302.84,mg IBU cm2,24,h,302840,ug/cm^2,Ibuprofen,,,,,Franz diffusion cell,IVPT,porcine skin,porcine skin,porcine,,buffer pH 7.4,finite,100 mg,1,"Table 5; Page 6, section on Skin permeation studies; page(s): 8, 10, 11, 13, 14, 6",https://doi.org/10.1039/d0ra00100g,gold_set_round2_record_cards\R2-009_record_797d3caa1991.md,yes,no,yes,yes,yes,yes,yes,,yes,yes,no,no,yes,no,"concentration was not extracted, it states 0.01 g/L; dose type is infinite dose."
R2-010,tier1_gpt_v4_verified_all,gpt,record_fb26829467a8,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,mixed,Ibuprofen 200 um,v3,v3,verified,,amount_per_area,368.69,ug/cm2/h,6,hours,368.69,ug/cm^2,Ibuprofen,,,,,Franz diffusion cell,IVPT,bovine split skin,bovine split skin,,200,,,296 g,1.77,"Table 1; page(s): 2, 3, 4, 5, 6",https://doi.org/10.1186/2050-6511-13-5,gold_set_round2_record_cards\R2-010_record_fb26829467a8.md,yes,no,yes,yes,yes,yes,yes,,yes,no,no,no,yes,no,"concentration was not extracted, it states 10 mg/L (1.0%w/v); dose type is infinite dose; recepter medium is PBS ph 7.4"
R2-011,tier1_gpt_v4_verified_all,gpt,record_dea378194778,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,mixed,Ibuprofen 300 um,v3,v3,verified,,amount_per_area,431.52,ug/cm2/h,6,hours,431.52,ug/cm^2,Ibuprofen,,,,,Franz diffusion cell,IVPT,bovine split skin,bovine split skin,,200,,,296 g,1.77,"Table 1; page(s): 2, 3, 4, 5, 6",https://doi.org/10.1186/2050-6511-13-5,gold_set_round2_record_cards\R2-011_record_dea378194778.md,yes,no,yes,yes,yes,yes,yes,,yes,no,no,no,yes,no,"concentration was not extracted, it states 10 mg/L (1.0%w/v); dose type is infinite dose; recepter medium is PBS ph 7.4"
