record_id,paper_id,doi,route,original_status,original_scope_bucket,candidate_reason,priority_score,priority_bucket,review_focus,adjudication
record_6cbbff659209,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'yes', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.75, 'rationale': 'The record indicates an API concentration of 0.5% (w/v), which does not meet the required strict concentration of 5% w/w for the evaluation of ibuprofen. Although the study may provide useful insights on ibuprofen, it is not within the strict parameters defined for verification, specifically regarding concentration. The other criteria around endpoint time and amount are met, but the core issue lies in the concentration discrepancy, leading to a recommendation for rejection.'}"
record_e9d5f9fb8d19,paper_fa6875b6e13f,10.3390/membranes12080762,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.6, 'rationale': 'The record indicates ambiguous concentration and an endpoint that does not fully align with the 5% w/w concentration requirement for the api concentration. Although ibuprofen is present with a concentration value that is documented as 5 mg/L (which is less than the equivalent of 5% w/w), this ambiguity and other missing criteria lead to its unresolved status.'}"
record_56cb2b97ca4c,paper_a3861388b053,10.1186/1476-511x-11-171,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'uncertain', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'uncertain', 'confidence': 0.7, 'rationale': 'The record presents an ambiguous concentration of ibuprofen (50 μM), which is uncertain as it does not align with the strict scope requirement of 5% w/w concentration. Despite the presence of valid IVPT and endpoint data, the ambiguity in API concentration prevents this record from being verified and justifies its current unresolved status.'}"
record_bed30cc4c744,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'no', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.75, 'rationale': 'The record presents an ambiguous API concentration of 8 mM, which does not align with the specified 5% w/w requirement for ibuprofen. Additionally, endpoint type remains unspecified, indicating insufficient clarity to verify the record. While it successfully utilizes a Franz diffusion cell and has related IVPT studies, the failure reasons suggest it cannot be confidently verified under strict scope requirements.'}"
record_b357c03adc16,paper_b451e1b601ac,10.1016/j.ejpb.2020.05.013,figure,unresolved,recoverable_unresolved,recoverable_unresolved:missing_endpoint,12.0,high,endpoint_value,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'yes', 'concentration_5pct_ww_ok': 'yes', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'no', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.8, 'rationale': 'The record is classified as recoverable unresolved primarily due to the missing endpoint value. While other required parameters are met (5% w/w ibuprofen concentration, use of Franz diffusion cell, and an endpoint time of 12 hours), the absence of an endpoint value significantly hinders verification and necessitates the recommendation to remain unresolved.'}"
record_6f7f32d16194,paper_4431fa44bca9,10.1186/s13065-022-00901-2,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,11.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'no', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': ""The study presents an IC50 value for ibuprofen (0.11 µmol/ml), but the concentration is reported as 0.11 µmol/ml instead of the required 5% w/w. Additionally, while the study is an IVPT type, the endpoint and diffusion area details are unclear, contributing to ambiguity regarding the status of the API concentration. These factors lead to insufficient evidence for promotion to 'verified', thus retaining it as unresolved.""}"
record_ace3746b1600,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,11.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.8, 'rationale': ""The api_concentration_value is marked as 'None' and the api_concentration_unit is documented as '% w/v', indicating a lack of clarity on concentration in a 5% w/w context, which is necessary for verification in this strict scope. Although the study is scientifically useful and provides adequate information regarding ibuprofen permeation, the ambiguous concentration status leads to rejection under the defined strict criteria.""}"
record_851ab860659f,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,11.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'uncertain', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.75, 'rationale': 'The record presents an ambiguous API concentration with a specified value in % w/v, whereas the requirement is for % w/w. Additionally, while ibuprofen and its application via a Franz diffusion cell are appropriate, the missing concentration details prevent it from being determined as verified. The evidence does suggest significant findings related to the permeability of ibuprofen, which keeps it in the unresolved category.'}"
record_9d98bd27f9f7,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,11.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'uncertain', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.7, 'rationale': 'The api_concentration_value is reported as None, which creates ambiguity regarding the exact concentration of ibuprofen. While the documented concentration raw value is 5%, it is specified in a different unit (% w/v) compared to the required 5% w/w. This discrepancy leaves the record unresolved, despite the additional evidence provided supporting the experimental setup and outcomes.'}"
record_2578ce137ea3,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,11.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'uncertain', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.8, 'rationale': ""The candidate record indicates an api concentration value of 'None' and the unit is given as '% w/v' instead of the preferred '% w/w'. This ambiguity regarding the concentration leads to rejection under strict criteria. While the evidence is scientifically useful, the concentration format is outside of the strict scope requirements.""}"
