record_id,paper_id,doi,route,original_status,original_scope_bucket,candidate_reason,priority_score,priority_bucket,review_focus,adjudication
record_c13a8cda365e,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'uncertain', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.5, 'rationale': 'The record has ambiguous API concentration as it reports 0.5% w/v instead of the required 5% w/w. The original status indicates unresolved due to insufficient evidence and missing area. Also, it contains conflicting units (w/v instead of w/w for concentration) which complicates verification. Therefore, it is best to remain unresolved rather than promoting it to verified.'}"
record_6ad4079b03f5,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.85, 'rationale': 'The concentration of ibuprofen is reported as 0.5% w/v, which does not meet the strict requirement of 5% w/w concentration. Therefore, although the study focuses on ibuprofen and provides relevant IVPT data, the concentration is insufficient for strict inclusion criteria, leading to a recommendation for rejection as out of scope.'}"
record_8755ab5ac908,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.6, 'rationale': 'The candidate record has an ambiguous concentration with the API concentration reported as 0.5% w/v, which is outside the required 5% w/w strict scope. Additionally, it indicates missing area data and insufficient evidence. Therefore, the record should remain unresolved due to the lack of clarity regarding the concentration and other supporting data.'}"
record_ffa5e9ab3144,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'uncertain', 'concentration_5pct_ww_ok': 'uncertain', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'uncertain', 'confidence': 0.5, 'rationale': 'The record presents an ambiguous concentration specification since the candidate concentration is listed as 0.5% w/v, while the required endpoint is for 5% w/w. The missing diffusion area (None) also complicates the interpretation of the data. As such, it cannot be verified under strict criteria and should remain unresolved.'}"
record_a9cd86939b25,paper_10da22b7ac07,10.1038/srep08114,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': ""The record indicates an ambiguous API concentration issue, as it lists 10.0 mM instead of the required 5% w/w specification for ibuprofen. Additionally, there are missing areas crucial for adequate testing and outcome (e.g., 'diffusion_area_cm2' is noted as None). The evidence items predominantly discuss antagonistic activities on FXR without clarifying the dose-response relationship specific to ibuprofen, raising doubts about the concentration relevance to skin permeation studies.""}"
record_76594a25e56c,paper_10da22b7ac07,10.1038/srep08114,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': 'The candidate record presents a concentration of ibuprofen (10.0 mM), which conflicts with the required concentration of 5% w/w (approximately 0.5 mM for ibuprofen, depending on the molecular weight). Furthermore, the ambiguous concentration basis (molar instead of w/w) necessitates further clarification. With two main failure reasons noted and key evidence items indicating insufficient specificity for the required parameters (Franz diffusion cell and IVPT/IVRT), the record remains unresolved rather than verified.'}"
record_ac85bd7b8eae,paper_10da22b7ac07,10.1038/srep08114,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.5, 'rationale': 'The record presents ambiguities regarding the API concentration, with an indicated concentration of 10.0 mM, which is out of the specified strict scope of 5% w/w. Additionally, the record is labeled as having insufficient evidence due to the ambiguous API concentration, which prevents classification as verified. Consequently, it should remain unresolved rather than being promoted.'}"
record_28f2d35be22d,paper_7ab41c5b6a1d,10.1593/neo.121890,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'uncertain', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.5, 'rationale': ""The candidate record indicates an ibuprofen concentration of 1 mg/ml (equivalent to 0.1% w/v), which does not meet the required 5% w/w concentration standard for this adjudication. Moreover, the mention of 'ambiguous_api_concentration' highlights conflicts regarding the api concentration. The absence of a measured diffusion area in the study further complicates its categorization under the strict interpretation of the relevant criteria, pushing it toward the unresolved category.""}"
record_3ce2c5362afc,paper_7ab41c5b6a1d,10.1593/neo.121890,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.6, 'rationale': 'The api concentration is reported as 1.0 mg/ml, which does not meet the required concentration of 5% w/w for the strict scope. The endpoint also lacks data on the diffusion area and there are inconsistencies across sources, making it ambiguous. Thus, promoting to verified status is inappropriate.'}"
record_db9e53b4e4c5,paper_7ab41c5b6a1d,10.1593/neo.121890,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.5, 'rationale': 'The record presents ambiguity in API concentration with an inconsistent value of 1 mg/ml versus the expected 5% w/w concentration for ibuprofen, which raises concerns. Several failure reasons are noted, including ambiguous API concentration and missing area, indicating insufficient evidence to promote to verified status. It remains unclear if the concentration corresponds to the strict requirement, thus it is recommended to remain unresolved.'}"
