record_id,paper_id,doi,route,original_status,original_scope_bucket,candidate_reason,priority_score,priority_bucket,review_focus,adjudication
record_c36382dfd014,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,16.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'uncertain', 'confidence': 0.6, 'rationale': 'The candidate record presents an ambiguous API concentration (8 mM) that does not align with the strict scope of 5% w/w. Additionally, it lacks sufficient clarity regarding diffusion area measurements (missing area) and shows conflicting details about the nature of the API concentration (molar basis rather than percentage). Thus, while the study relates to ibuprofen and uses a Franz diffusion cell under IVRT conditions, the ambiguities warrant leaving it unresolved.'}"
record_4d624f430c6c,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,16.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.8, 'rationale': ""The record is currently marked as unresolved due to 'ambiguous_api_concentration' and 'missing_area'. The concentration reported is 8 mM, which does not fall within the stipulated scope of 5% w/w. Additionally, the diffusion area is missing, which is essential to confirm the Franz diffusion cell setup. Given these critical missing components, it is scientifically appropriate to recommend it as unresolved rather than verified.""}"
record_c13a8cda365e,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': 'The record features ibuprofen but has conflicting and ambiguous concentration units (0.5% w/v instead of the required 5% w/w), which affect its classification under strict criteria. Therefore, it cannot be promoted to verified status and should remain unresolved. The failure reasons indicate uncertain aspects of the API concentration and missing diffusion area.'}"
record_6ad4079b03f5,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.5, 'rationale': ""The candidate record presents ambiguous API concentration, specifically using a 0.5% w/v concentration which conflicts with the strict 5% w/w requirement. Additionally, there are several failure reasons listed, including 'insufficient evidence' and 'missing area', leading to the recommendation for it to remain unresolved.""}"
record_8755ab5ac908,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': 'The candidate record indicates an api concentration of 0.5% w/v, which does not meet the strict scope of 5% w/w concentration. Additionally, the ambiguity regarding the concentration basis (w/v rather than w/w) contributes to uncertainty in evaluating the data. Therefore, while the research is relevant to the study of ibuprofen, it is ultimately outside the strict scope required for verification.'}"
record_ffa5e9ab3144,paper_b21c07f7ac33,10.1007/s13346-022-01182-x,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'uncertain', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': ""The API concentration of 0.5% w/v does not meet the required concentration of 5% w/w. Furthermore, the report shows conflicting concentration units (w/v vs w/w) raising ambiguity around the effective concentration applied in the study. While IVPT conditions are relevant, insufficient evidence around the concentration limits the record's validity for strict verification.""}"
record_1660a8464700,paper_10da22b7ac07,10.1038/srep08114,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': ""The record indicates a concentration of ibuprofen at 10.0 mM, but the strict scope requires a 5% w/w concentration for promotional verification. Furthermore, the failure reasons include 'ambiguous_api_concentration' and 'missing_area,' which suggests the evidence is insufficient to resolve the ambiguities and aligns better as unresolved rather than verified.""}"
record_06ac7a8b3930,paper_84dcffdf1d76,10.1371/journal.pone.0156931,mixed,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'uncertain', 'confidence': 0.6, 'rationale': 'The ambiguous concentration value (100 μM) does not correspond to the required 5% w/w formulation. The record provides relevant IVPT data but lacks confirmation of the strict requirements of API concentration. Additionally, the presence of failure reasons further supports keeping this record as unresolved.'}"
record_5ff80e2cdc44,paper_84dcffdf1d76,10.1371/journal.pone.0156931,mixed,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'uncertain', 'confidence': 0.5, 'rationale': 'Although the study pertains to ibuprofen in an IVPT context, the ambiguity concerning the concentration unit (100μM instead of a weight/volume percentage) makes it scientifically unresolved under the strict scope. The evidence does not clarify if the concentration meets the 5% w/w requirement. Thus, it cannot be verified but should remain unresolved.'}"
record_135da29e8243,paper_84dcffdf1d76,10.1371/journal.pone.0156931,mixed,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'uncertain', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.7, 'rationale': ""The main reason for recommendation as unresolved is the ambiguous concentration of the active pharmaceutical ingredient (API) reported in the study, which is given as 100 μM, contrary to the required concentration of 5% w/w for strict scope. The evidence of the API's concentration is insufficient to meet the strict criteria set for evaluation. Additionally, other failure reasons point towards the study not being fully aligned with the specified conditions for acceptance.""}"
