record_id,paper_id,doi,route,original_status,original_scope_bucket,candidate_reason,priority_score,priority_bucket,review_focus,adjudication
record_0f90d899d5cf,paper_4cd65bde6fb4,10.1021/acs.molpharmaceut.0c00720,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,16.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.5, 'rationale': 'The record presents conflicting information regarding the API concentration. The reported concentration of 8 mM does not fall within the specified 5% w/w limit. Additionally, the absence of a specified diffusion area is critical as it affects the interpretation of the results, leading to ambiguity in the findings. Given these issues, it is recommended to keep this record unresolved.'}"
record_a05cf3a3778c,paper_0302b70cc6de,10.1038/s41396-020-0679-2,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'uncertain', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.6, 'rationale': ""The record presents an ambiguous API concentration with evidence showing multiple values that are not strictly within the recommended 5% w/w concentration. Therefore, it remains unresolved while acknowledging relevant aspects that fit within the study's IVPT framework.""}"
record_519c4aaf7660,paper_0302b70cc6de,10.1038/s41396-020-0679-2,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,15.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'n_a', 'confidence': 0.65, 'rationale': ""The provided concentration of ibuprofen is ambiguous and presented in mg/L, which does not align with the strict unit '5% w/w'. Additionally, there is conflicting information about the concentration effects reported in the paper, leading to uncertainty. While it is related to ivpt and meets other endpoints, the concentration issues prevent it from being verified.""}"
record_7febaf9d6184,paper_4431fa44bca9,10.1186/s13065-022-00901-2,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'no', 'area_ok': 'n_a', 'confidence': 0.6, 'rationale': 'The record presents a concentration of ibuprofen (0.11 µmol/ml) based on IC50 values rather than a direct formulation concentration like 5% w/w. Additionally, details related to the Franz diffusion cell and endpoint time are ambiguous or missing. Thus, it fails to meet the strict criteria despite its scientific relevance.'}"
record_2425970f0336,paper_7fb33aad5434,10.1172/jci2614,figure,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,14.0,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'no', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'no', 'area_ok': 'uncertain', 'confidence': 0.7, 'rationale': 'The API concentration reported as 500 µM conflicts with the strict requirement of 5% w/w. Additionally, there is ambiguity regarding the normalization of units for concentration. This raises concerns regarding the accuracy of the results in relation to the strict scope, making it preferable to remain in unresolved status rather than promoting to verified.'}"
record_ace3746b1600,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.7, 'rationale': 'The record indicates an ambiguous API concentration, provided as 1.0% w/v. This conflicts with the strict required criteria of 5% w/w for ibuprofen, which creates uncertainty regarding its applicability. Given that the study involves relevant methodologies and the Franz diffusion cell setup, it retains scientific value but cannot be verified due to the concentration ambiguity. Therefore, it should remain unresolved.'}"
record_851ab860659f,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.8, 'rationale': 'The record has an ambiguous API concentration reported as 1.0% w/v, which does not conform to the required 5% w/w specification for the strict scope guidelines. While the other required elements are present, the ambiguity surrounding the API concentration is significant enough to warrant that the record remain unresolved rather than being verified.'}"
record_9d98bd27f9f7,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'unresolved', 'scope_bucket': 'recoverable_unresolved', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.75, 'rationale': 'The concentration of ibuprofen is reported as 1.0% w/v, which does not align with the required concentration of 5% w/w for strict scope verification. The ambiguity in the API concentration (1.0% w/v) leads to insufficient certainty regarding compliance with the strict parameters, thus favoring unresolved status.'}"
record_2578ce137ea3,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'no', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.75, 'rationale': 'The candidate record mentions an api concentration of 1% w/v, which is outside the strict scope of 5% w/w required for consideration. Although it provides useful insights regarding ibuprofen permeation, the concentration discrepancy leads to its rejection as out of scope.'}"
record_fb8b2beb150c,paper_48cbfe0b170b,10.1208/s12249-013-9995-4,table,unresolved,recoverable_unresolved,recoverable_unresolved:ambiguous_api_concentration,12.5,high,api_concentration_basis,"{'should_keep_strict': 'no', 'recommended_status': 'rejected', 'scope_bucket': 'useful_but_out_of_scope', 'target_api_ok': 'no', 'concentration_5pct_ww_ok': 'no', 'franz_ok': 'yes', 'ivpt_ivrt_ok': 'yes', 'amount_endpoint_ok': 'yes', 'endpoint_time_ok': 'yes', 'area_ok': 'yes', 'confidence': 0.75, 'rationale': 'The main issue with this record is the concentration of ibuprofen reported as 1.0% w/v, which does not meet the strict requirement of being reported at 5% w/w. Given the ambiguity in API concentration and its alignment with the criteria, this record is scientifically useful but remains out of scope based on the concentration requirement.'}"
