stage,bucket,count
access_status,downloaded,230
access_status,error,1
access_status,resolved,83
access_status,unresolved,224
access_reason,resolve_error_connectionerror,1
route_unresolved_reason,content_appears_to_be_non_extractable_due_to_lack_of_relevant_structured_informa,1
route_unresolved_reason,content_does_not_provide_enough_specific_information_relevant_to_ibuprofen_or_di,1
route_unresolved_reason,content_extraction_was_not_available_due_to_a_lack_of_detailed_sections_or_evide,1
route_unresolved_reason,content_from_initial_pages_is_unextractable_related_to_the_topic,1
route_unresolved_reason,content_on_first_two_pages_is_not_relevant_for_extraction,1
route_unresolved_reason,content_primarily_consists_of_navigational_elements_and_no_substantial_evidence_,1
route_unresolved_reason,document_appears_to_be_a_general_overview_without_specific_extractable_evidence_,1
route_unresolved_reason,document_appears_to_be_highly_technical_and_relevant_to_nsaids_but_lacks_the_spe,1
route_unresolved_reason,document_content_does_not_provide_enough_information_for_extraction,1
route_unresolved_reason,document_content_not_accessible_for_specific_extraction,1
route_unresolved_reason,document_did_not_provide_any_relevant_evidence_regarding_the_extraction_inquirie,1
route_unresolved_reason,document_does_not_contain_concrete_details_about_diffusion_studies_related_to_ib,1
route_unresolved_reason,document_is_primarily_procedural_specific_extraction_details_on_formulations_or_,1
route_unresolved_reason,evidence_extraction_is_limited_due_to_lack_of_specific_sections_or_details_in_th,1
route_unresolved_reason,evidence_extraction_not_explicit_keywords_indicate_focus_on_ibuprofen_response_b,1
route_unresolved_reason,extract_evidence_regarding_ibuprofen_delivery_method_and_formulation_from_the_pa,1
route_unresolved_reason,extractable_evidence_not_available_in_provided_text,1
route_unresolved_reason,extraction_not_feasible_due_to_insufficient_information_in_the_provided_text,1
route_unresolved_reason,further_details_unavailable_from_the_provided_text,1
route_unresolved_reason,information_extracted_does_not_mention_ibuprofen_or_any_relevant_diffusion_cell_,1
route_unresolved_reason,information_regarding_diffusion_cell_franz_type_studies_and_specific_endpoints_i,1
route_unresolved_reason,initial_extraction_reveals_potential_relevance_to_ibuprofen_formulation_but_lack,1
route_unresolved_reason,insufficient_content_in_provided_text_to_determine_evidence,1
route_unresolved_reason,insufficient_content_provided_to_determine_details,1
route_unresolved_reason,insufficient_content_to_determine_extraction_details,1
route_unresolved_reason,insufficient_content_to_extract_specific_details_regarding_the_formulation_endpo,1
route_unresolved_reason,insufficient_evidence_related_to_ibuprofen_or_diffusion_cells_focus_on_traumatic,1
route_unresolved_reason,insufficient_extractable_data_in_the_provided_text,1
route_unresolved_reason,insufficient_extractable_evidence_details_available_from_the_document_text,1
route_unresolved_reason,insufficient_extractable_evidence_in_provided_text,1
route_unresolved_reason,insufficient_information_available_content_consists_mainly_of_navigation_and_sup,1
route_unresolved_reason,insufficient_information_available_from_the_provided_text,1
route_unresolved_reason,insufficient_information_available_in_the_excerpt,1
route_unresolved_reason,insufficient_information_available_in_the_provided_document,1
route_unresolved_reason,insufficient_information_available_to_assess_content,1
route_unresolved_reason,insufficient_information_available_to_determine_extraction_route,2
route_unresolved_reason,insufficient_information_for_specific_extraction,1
route_unresolved_reason,insufficient_information_in_the_provided_text,1
route_unresolved_reason,insufficient_information_to_determine_evidence_related_to_ibuprofen_or_dermal_fo,1
route_unresolved_reason,lacks_sufficient_extractable_evidence_regarding_ibuprofen,1
route_unresolved_reason,missing_structured_and_pdf_router_source,236
route_unresolved_reason,missing_structured_and_pdf_router_source_blocked_html_remote_captcha,63
route_unresolved_reason,missing_structured_and_pdf_router_source_html_remote_httperror,5
route_unresolved_reason,no_clear_evidence_extraction_points_identified_from_the_provided_document_text,1
route_unresolved_reason,no_clear_evidence_extraction_routes_identified_from_the_provided_text,1
route_unresolved_reason,no_clear_extractable_evidence_found_in_provided_text,1
route_unresolved_reason,no_clear_extractable_evidence_found_in_the_provided_document,1
route_unresolved_reason,no_clear_extractable_evidence_related_to_ibuprofen_or_diffusion_cells_in_the_pro,1
route_unresolved_reason,no_clear_mention_of_ibuprofen_or_relevant_diffusion_methods,1
route_unresolved_reason,no_detailed_evidence_extraction_available_from_the_provided_document,1
route_unresolved_reason,no_evidence_related_to_ibuprofen_or_dermal_formulations_found,1
route_unresolved_reason,no_extractable_content_identified_in_the_provided_pages,1
route_unresolved_reason,no_extractable_evidence_available,1
route_unresolved_reason,no_extractable_evidence_available_from_provided_document,1
route_unresolved_reason,no_extractable_evidence_found,1
route_unresolved_reason,no_extractable_evidence_found_in_provided_pages,1
route_unresolved_reason,no_extractable_evidence_identified_in_the_text_provided,1
route_unresolved_reason,no_extractable_evidence_present,1
route_unresolved_reason,no_extractable_evidence_provided_in_the_document_text,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_or_diffusion_cell_found,1
route_unresolved_reason,no_extractable_evidence_regarding_ibuprofen_or_related_formulations_found_in_the,1
route_unresolved_reason,no_extractable_evidence_related_to_ibuprofen_found_in_the_provided_document,1
route_unresolved_reason,no_extractable_evidence_was_found_in_the_displayed_document,1
route_unresolved_reason,no_relevant_content_found_regarding_ibuprofen_or_diffusion_cells,1
route_unresolved_reason,no_relevant_content_from_the_provided_text,1
route_unresolved_reason,no_relevant_data_appears_to_be_extractable_from_the_provided_text,1
route_unresolved_reason,no_relevant_data_extraction_possible,1
route_unresolved_reason,no_relevant_data_related_to_ibuprofen_dermal_formulation_extraction_found_in_pro,1
route_unresolved_reason,no_relevant_data_related_to_ibuprofen_or_diffusion_cells_found,1
route_unresolved_reason,no_relevant_evidence_extracted_regarding_ibuprofen_or_diffusion_studies,1
route_unresolved_reason,no_relevant_evidence_found_in_the_document,2
route_unresolved_reason,no_relevant_evidence_on_ibuprofen_or_diffusion_cells_found_in_the_available_text,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_dermal_formulations_found_in_the_do,1
route_unresolved_reason,no_relevant_evidence_related_to_ibuprofen_or_diffusion_cells_content_appears_to_,1
route_unresolved_reason,no_relevant_extractable_evidence_found,1
route_unresolved_reason,no_relevant_extractable_evidence_found_in_the_provided_document_section,2
route_unresolved_reason,no_relevant_extractable_evidence_identified,1
route_unresolved_reason,no_relevant_information_about_ibuprofen_or_dermal_formulations_found_in_the_prov,1
route_unresolved_reason,no_relevant_information_extracted_regarding_ibuprofen_or_the_use_of_diffusion_ce,1
route_unresolved_reason,no_relevant_information_found_in_the_provided_document_text,1
route_unresolved_reason,no_relevant_information_found_in_the_provided_text,1
route_unresolved_reason,no_relevant_information_found_regarding_ibuprofen_or_dermal_formulations,2
route_unresolved_reason,no_relevant_information_on_ibuprofen_or_dermal_formulations_found_in_the_provide,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_dermal_formulation_extraction,1
route_unresolved_reason,no_relevant_information_regarding_ibuprofen_or_related_dermal_formulations,1
route_unresolved_reason,no_relevant_information_related_to_ibuprofen_or_diffusion_studies_was_found,1
route_unresolved_reason,no_specific_evidence_extraction_routes_identified_from_the_provided_text,1
route_unresolved_reason,no_specific_evidence_related_to_ibuprofen_extraction_identified,1
route_unresolved_reason,no_specific_experimental_details_or_results_are_provided_in_the_pages_shown,1
route_unresolved_reason,no_specific_extractable_evidence_on_ibuprofen_or_diffusion_methodologies_availab,1
route_unresolved_reason,only_basic_information_available_from_the_document_headers,1
route_unresolved_reason,only_structural_webpage_content_found_no_relevant_extractable_evidence_regarding,1
route_unresolved_reason,potential_for_extracting_data_on_a_mixed_micellar_gel_formulation_for_ibuprofen_,1
route_unresolved_reason,some_details_about_barriers_and_endpoints_are_not_specified,1
route_unresolved_reason,the_content_does_not_mention_ibuprofen_or_relevant_diffusion_cells_lacking_extra,1
